id,activityhour,steptotal,totalintensity,averageintensity,calories
1503960366,2016-04-12 00:00:00.000000,373,20,0.333333,81
1503960366,2016-04-12 01:00:00.000000,160,8,0.133333,61
1503960366,2016-04-12 02:00:00.000000,151,7,0.116667,59
1503960366,2016-04-12 03:00:00.000000,0,0,0,47
1503960366,2016-04-12 04:00:00.000000,0,0,0,48
1503960366,2016-04-12 05:00:00.000000,0,0,0,48
1503960366,2016-04-12 06:00:00.000000,0,0,0,48
1503960366,2016-04-12 07:00:00.000000,0,0,0,47
1503960366,2016-04-12 08:00:00.000000,250,13,0.216667,68
1503960366,2016-04-12 09:00:00.000000,1864,30,0.5,141
1503960366,2016-04-12 10:00:00.000000,676,29,0.483333,99
1503960366,2016-04-12 11:00:00.000000,360,12,0.2,76
1503960366,2016-04-12 12:00:00.000000,253,11,0.183333,73
1503960366,2016-04-12 13:00:00.000000,221,6,0.1,66
1503960366,2016-04-12 14:00:00.000000,1166,36,0.6,110
1503960366,2016-04-12 15:00:00.000000,2063,58,0.966667,151
1503960366,2016-04-12 16:00:00.000000,344,13,0.216667,76
1503960366,2016-04-12 17:00:00.000000,489,16,0.266667,83
1503960366,2016-04-12 18:00:00.000000,1386,29,0.483333,124
1503960366,2016-04-12 19:00:00.000000,558,39,0.65,104
1503960366,2016-04-12 20:00:00.000000,1733,41,0.683333,132
1503960366,2016-04-12 21:00:00.000000,684,31,0.516667,100
1503960366,2016-04-12 22:00:00.000000,89,9,0.15,65
1503960366,2016-04-12 23:00:00.000000,338,21,0.35,81
1503960366,2016-04-13 00:00:00.000000,144,14,0.233333,69
1503960366,2016-04-13 01:00:00.000000,0,0,0,48
1503960366,2016-04-13 02:00:00.000000,0,0,0,47
1503960366,2016-04-13 03:00:00.000000,36,4,0.066667,53
1503960366,2016-04-13 04:00:00.000000,0,0,0,47
1503960366,2016-04-13 05:00:00.000000,0,0,0,47
1503960366,2016-04-13 06:00:00.000000,0,0,0,48
1503960366,2016-04-13 07:00:00.000000,126,8,0.133333,59
1503960366,2016-04-13 08:00:00.000000,275,12,0.2,69
1503960366,2016-04-13 09:00:00.000000,1679,27,0.45,136
1503960366,2016-04-13 10:00:00.000000,295,15,0.25,77
1503960366,2016-04-13 11:00:00.000000,524,16,0.266667,84
1503960366,2016-04-13 12:00:00.000000,486,15,0.25,82
1503960366,2016-04-13 13:00:00.000000,302,10,0.166667,72
1503960366,2016-04-13 14:00:00.000000,1577,46,0.766667,128
1503960366,2016-04-13 15:00:00.000000,493,13,0.216667,79
1503960366,2016-04-13 16:00:00.000000,299,10,0.166667,71
1503960366,2016-04-13 17:00:00.000000,695,23,0.383333,87
1503960366,2016-04-13 18:00:00.000000,1343,25,0.416667,118
1503960366,2016-04-13 19:00:00.000000,258,13,0.216667,73
1503960366,2016-04-13 20:00:00.000000,0,0,0,47
1503960366,2016-04-13 21:00:00.000000,0,0,0,48
1503960366,2016-04-13 22:00:00.000000,437,11,0.183333,74
1503960366,2016-04-13 23:00:00.000000,1766,56,0.933333,135
1503960366,2016-04-14 00:00:00.000000,81,4,0.066667,56
1503960366,2016-04-14 01:00:00.000000,58,3,0.05,54
1503960366,2016-04-14 02:00:00.000000,0,0,0,47
1503960366,2016-04-14 03:00:00.000000,0,0,0,47
1503960366,2016-04-14 04:00:00.000000,0,0,0,47
1503960366,2016-04-14 05:00:00.000000,0,0,0,47
1503960366,2016-04-14 06:00:00.000000,0,0,0,47
1503960366,2016-04-14 07:00:00.000000,0,0,0,47
1503960366,2016-04-14 08:00:00.000000,0,0,0,47
1503960366,2016-04-14 09:00:00.000000,902,14,0.233333,93
1503960366,2016-04-14 10:00:00.000000,1106,23,0.383333,109
1503960366,2016-04-14 11:00:00.000000,50,7,0.116667,64
1503960366,2016-04-14 12:00:00.000000,501,18,0.3,85
1503960366,2016-04-14 13:00:00.000000,1779,54,0.9,137
1503960366,2016-04-14 14:00:00.000000,1228,22,0.366667,113
1503960366,2016-04-14 15:00:00.000000,139,7,0.116667,66
1503960366,2016-04-14 16:00:00.000000,408,25,0.416667,88
1503960366,2016-04-14 17:00:00.000000,37,5,0.083333,61
1503960366,2016-04-14 18:00:00.000000,322,12,0.2,72
1503960366,2016-04-14 19:00:00.000000,11,1,0.016667,55
1503960366,2016-04-14 20:00:00.000000,806,24,0.4,91
1503960366,2016-04-14 21:00:00.000000,2670,57,0.95,174
1503960366,2016-04-14 22:00:00.000000,362,17,0.283333,79
1503960366,2016-04-14 23:00:00.000000,0,0,0,50
1503960366,2016-04-15 00:00:00.000000,83,6,0.1,60
1503960366,2016-04-15 01:00:00.000000,75,5,0.083333,58
1503960366,2016-04-15 02:00:00.000000,124,7,0.116667,59
1503960366,2016-04-15 03:00:00.000000,0,0,0,47
1503960366,2016-04-15 04:00:00.000000,0,0,0,47
1503960366,2016-04-15 05:00:00.000000,26,1,0.016667,49
1503960366,2016-04-15 06:00:00.000000,0,0,0,47
1503960366,2016-04-15 07:00:00.000000,7,1,0.016667,49
1503960366,2016-04-15 08:00:00.000000,55,5,0.083333,54
1503960366,2016-04-15 09:00:00.000000,21,2,0.033333,50
1503960366,2016-04-15 10:00:00.000000,154,8,0.133333,63
1503960366,2016-04-15 11:00:00.000000,425,23,0.383333,84
1503960366,2016-04-15 12:00:00.000000,270,13,0.216667,74
1503960366,2016-04-15 13:00:00.000000,373,9,0.15,67
1503960366,2016-04-15 14:00:00.000000,0,0,0,47
1503960366,2016-04-15 15:00:00.000000,0,0,0,47
1503960366,2016-04-15 16:00:00.000000,0,0,0,47
1503960366,2016-04-15 17:00:00.000000,1774,47,0.783333,140
1503960366,2016-04-15 18:00:00.000000,509,22,0.366667,87
1503960366,2016-04-15 19:00:00.000000,519,32,0.533333,97
1503960366,2016-04-15 20:00:00.000000,77,8,0.133333,64
1503960366,2016-04-15 21:00:00.000000,280,14,0.233333,75
1503960366,2016-04-15 22:00:00.000000,2145,66,1.1,151
