id,activitydate,sedentaryminutes,lightlyactiveminutes,fairlyactiveminutes,veryactiveminutes
1503960366,4/12/2016,728,328,13,25
1503960366,4/13/2016,776,217,19,21
1503960366,4/14/2016,1218,181,11,30
1503960366,4/15/2016,726,209,34,29
1503960366,4/16/2016,773,221,10,36
1503960366,4/17/2016,539,164,20,38
1503960366,4/18/2016,1149,233,16,42
1503960366,4/19/2016,775,264,31,50
1503960366,4/20/2016,818,205,12,28
1503960366,4/21/2016,838,211,8,19
1503960366,4/22/2016,1217,130,27,66
1503960366,4/23/2016,732,262,21,41
1503960366,4/24/2016,709,238,5,39
1503960366,4/25/2016,814,216,14,73
1503960366,4/26/2016,833,279,23,31
1503960366,4/27/2016,1108,243,11,78
1503960366,4/28/2016,782,189,28,48
1503960366,4/29/2016,815,243,12,16
1503960366,4/30/2016,712,217,34,52
1503960366,5/1/2016,730,246,35,33
1503960366,5/2/2016,798,277,15,41
1503960366,5/3/2016,816,254,24,50
1503960366,5/4/2016,1179,203,22,36
1503960366,5/5/2016,857,250,24,45
1503960366,5/6/2016,754,289,6,24
1503960366,5/7/2016,833,175,46,37
1503960366,5/8/2016,574,203,8,44
1503960366,5/9/2016,835,206,11,46
1503960366,5/10/2016,746,214,31,46
1503960366,5/11/2016,669,251,23,36
1624580081,4/12/2016,1294,146,0,0
1624580081,4/13/2016,1292,148,0,0
1624580081,4/14/2016,1204,236,0,0
1624580081,4/15/2016,1344,96,0,0
1624580081,4/16/2016,1264,176,0,0
1624580081,4/17/2016,1276,127,22,15
1624580081,4/18/2016,1214,202,7,17
1624580081,4/19/2016,1299,141,0,0
1624580081,4/20/2016,1289,151,0,0
1624580081,4/21/2016,1254,186,0,0
1624580081,4/22/2016,1241,199,0,0
1624580081,4/23/2016,1213,227,0,0
1624580081,4/24/2016,1221,185,18,16
1624580081,4/25/2016,1238,202,0,0
1624580081,4/26/2016,1300,140,0,0
1624580081,4/27/2016,1233,154,36,17
1624580081,4/28/2016,1320,115,5,0
1624580081,4/29/2016,1290,150,0,0
1624580081,4/30/2016,1182,224,23,11
1624580081,5/1/2016,1020,171,63,186
1624580081,5/2/2016,1261,166,6,7
1624580081,5/3/2016,1344,96,0,0
1624580081,5/4/2016,1322,118,0,0
1624580081,5/5/2016,1323,117,0,0
1624580081,5/6/2016,1338,102,0,0
1624580081,5/7/2016,1258,182,0,0
1624580081,5/8/2016,1288,152,0,0
1624580081,5/9/2016,1349,91,0,0
1624580081,5/10/2016,1301,139,0,0
1624580081,5/11/2016,1328,112,0,0
1624580081,5/12/2016,890,107,0,0
1644430081,4/12/2016,1131,256,51,2
1644430081,4/13/2016,1259,135,16,30
1644430081,4/14/2016,1125,252,58,5
1644430081,4/15/2016,1263,170,4,3
1644430081,4/16/2016,1135,212,42,51
1644430081,4/17/2016,1212,186,13,29
1644430081,4/18/2016,1271,121,33,15
1644430081,4/19/2016,1099,278,58,5
1644430081,4/20/2016,1315,125,0,0
1644430081,4/21/2016,1402,38,0,0
1644430081,4/22/2016,1354,86,0,0
1644430081,4/23/2016,1265,160,15,0
1644430081,4/24/2016,1351,89,0,0
1644430081,4/25/2016,1337,94,1,8
1644430081,4/26/2016,1165,223,41,11
1644430081,4/27/2016,1322,118,0,0
1644430081,4/28/2016,1157,227,53,3
1644430081,4/29/2016,1193,120,0,0
1644430081,4/30/2016,816,402,71,9
1644430081,5/1/2016,908,146,24,3
1644430081,5/2/2016,682,148,7,1
1644430081,5/3/2016,1115,221,94,10
1644430081,5/4/2016,1388,52,0,0
1644430081,5/5/2016,1341,81,12,6
1644430081,5/6/2016,1054,369,6,11
1644430081,5/7/2016,1139,243,17,41
1644430081,5/8/2016,991,295,0,0
1644430081,5/9/2016,1099,303,6,32
1644430081,5/10/2016,1254,155,19,12
1644430081,5/11/2016,713,49,0,0
1844505072,4/12/2016,1101,339,0,0
1844505072,4/13/2016,1192,248,0,0
1844505072,4/14/2016,843,373,0,0
